16:04:15.695 [MainThread] INFO    thonny: Thonny version: 4.1.4
16:04:15.696 [MainThread] INFO    thonny: cwd: /home/instrumentgroup/.config/Thonny/leave_this_empty
16:04:15.696 [MainThread] INFO    thonny: original argv: ['/usr/bin/python3', '-u', '-B', '/usr/lib/python3/dist-packages/thonny/plugins/cpython_backend/cp_launcher.py', '/home/instrumentgroup/Documents/midi_scripts', "{'run.warn_module_shadowing': True}"]
16:04:15.696 [MainThread] INFO    thonny: sys.executable: /usr/bin/python3
16:04:15.696 [MainThread] INFO    thonny: sys.argv: ['/usr/lib/python3/dist-packages/thonny/plugins/cpython_backend/cp_launcher.py', '/home/instrumentgroup/Documents/midi_scripts', "{'run.warn_module_shadowing': True}"]
16:04:15.696 [MainThread] INFO    thonny: sys.path: ['/usr/lib/python3/dist-packages/thonny/plugins/cpython_backend', '/usr/lib/python311.zip', '/usr/lib/python3.11', '/usr/lib/python3.11/lib-dynload', '/usr/local/lib/python3.11/dist-packages', '/usr/lib/python3/dist-packages', '/usr/lib/python3.11/dist-packages']
16:04:15.696 [MainThread] INFO    thonny: sys.flags: sys.flags(debug=0, inspect=0, interactive=0, optimize=0, dont_write_bytecode=1, no_user_site=0, no_site=0, ignore_environment=0, verbose=0, bytes_warning=0, quiet=0, hash_randomization=1, isolated=0, dev_mode=False, utf8_mode=0, warn_default_encoding=0, safe_path=False, int_max_str_digits=-1)
16:04:15.698 [MainThread] INFO    thonny: TIME/MODS 0.049 Before constructing backend (+25 modules)
16:04:15.699 [MainThread] INFO    thonny: NEW MODS ['_heapq', '_locale', '_posixsubprocess', '_queue', 'encodings.ascii', 'errno', 'faulthandler', 'fcntl', 'fnmatch', 'heapq', 'locale', 'math', 'ntpath', 'pathlib', 'queue', 'select', 'selectors', 'signal', 'subprocess', 'thonny.backend', 'thonny.plugins', 'thonny.plugins.cpython_backend', 'thonny.plugins.cpython_backend.cp_back', 'urllib', 'urllib.parse']
16:04:15.699 [MainThread] INFO    thonny: TIME/MODS 0.001 Before MainBackend 
16:04:15.700 [MainThread] INFO    thonny: TIME/MODS 0.000 After MainBackend 
16:04:15.736 [MainThread] INFO    thonny.backend: Loading plugins
16:04:15.737 [MainThread] INFO    thonny: TIME/MODS 0.037 Before loading plugins (+6 modules)
16:04:15.737 [MainThread] INFO    thonny: NEW MODS ['__future__', '_sysconfigdata__aarch64-linux-gnu', 'pkgutil', 'platform', 'pydoc', 'sysconfig']
16:04:15.739 [MainThread] INFO    thonny.common: Using THONNY_FRONTEND_SYS_PATH ['/usr/bin', '/usr/lib/python311.zip', '/usr/lib/python3.11', '/usr/lib/python3.11/lib-dynload', '/usr/local/lib/python3.11/dist-packages', '/usr/lib/python3/dist-packages', '/usr/lib/python3.11/dist-packages', '/home/instrumentgroup/.config/Thonny/plugins/lib/python3.11/site-packages']
16:04:15.747 [MainThread] INFO    thonny.backend: Loading plugin 'thonny.plugins.backend.birdseye_backend'
16:04:15.751 [MainThread] INFO    thonny.backend: Loading plugin 'thonny.plugins.backend.dock_user_windows_backend'
16:04:15.755 [MainThread] INFO    thonny.backend: Loading plugin 'thonny.plugins.backend.flask_backend'
16:04:15.759 [MainThread] INFO    thonny.backend: Loading plugin 'thonny.plugins.backend.matplotlib_backend'
16:04:15.763 [MainThread] INFO    thonny.backend: Loading plugin 'thonny.plugins.backend.pgzero_backend'
16:04:15.775 [MainThread] INFO    thonny: TIME/MODS 0.038 After loading plugins (+6 modules)
16:04:15.775 [MainThread] INFO    thonny: NEW MODS ['thonny.plugins.backend', 'thonny.plugins.backend.birdseye_backend', 'thonny.plugins.backend.dock_user_windows_backend', 'thonny.plugins.backend.flask_backend', 'thonny.plugins.backend.matplotlib_backend', 'thonny.plugins.backend.pgzero_backend']
16:04:15.785 [MainThread] INFO    thonny: TIME/MODS 0.010 Beginning of mainloop 
16:04:15.800 [MainThread] INFO    thonny: TIME/MODS 0.015 Starting _execute_file (+1 modules)
16:04:15.801 [MainThread] INFO    thonny: NEW MODS ['thonny.plugins.cpython_backend.cp_tracers']
16:04:15.801 [MainThread] INFO    thonny: TIME/MODS 0.001 Done preprocessing 
16:04:15.802 [MainThread] INFO    thonny: TIME/MODS 0.000 Done creating executor 
16:04:15.802 [MainThread] INFO    thonny: TIME/MODS 0.000 Before preparing ast in executor 
16:04:15.815 [MainThread] INFO    thonny: TIME/MODS 0.013 After compiling ast in executor (+1 modules)
16:04:15.815 [MainThread] INFO    thonny: NEW MODS ['pgzero']
16:04:15.817 [MainThread] INFO    thonny: TIME/MODS 0.002 Sending message DebuggerResponse 
