16:03:55.014 [MainThread] INFO    thonny: Thonny version: 4.1.4
16:03:55.015 [MainThread] INFO    thonny: cwd: /home/instrumentgroup
16:03:55.015 [MainThread] INFO    thonny: original argv: ['/usr/bin/python3', '/usr/bin/thonny']
16:03:55.015 [MainThread] INFO    thonny: sys.executable: /usr/bin/python3
16:03:55.015 [MainThread] INFO    thonny: sys.argv: ['/usr/bin/thonny']
16:03:55.015 [MainThread] INFO    thonny: sys.path: ['/usr/bin', '/usr/lib/python311.zip', '/usr/lib/python3.11', '/usr/lib/python3.11/lib-dynload', '/usr/local/lib/python3.11/dist-packages', '/usr/lib/python3/dist-packages', '/usr/lib/python3.11/dist-packages']
16:03:55.015 [MainThread] INFO    thonny: sys.flags: sys.flags(debug=0, inspect=0, interactive=0, optimize=0, dont_write_bytecode=0, no_user_site=0, no_site=0, ignore_environment=0, verbose=0, bytes_warning=0, quiet=0, hash_randomization=1, isolated=0, dev_mode=False, utf8_mode=0, warn_default_encoding=0, safe_path=False, int_max_str_digits=-1)
16:03:55.183 [MainThread] INFO    thonny.workbench: Starting Workbench
16:03:55.458 [MainThread] INFO    thonny.workbench: Creating runner
16:03:55.468 [MainThread] INFO    thonny.workbench: Start loading plugins
16:03:55.774 [MainThread] INFO    thonny.workbench: Done loading plugins
16:03:55.794 [MainThread] WARNING thonny.workbench: Could not find UI theme 'clam', switching to default
16:03:56.085 [MainThread] INFO    thonny.workbench: Opening views
16:03:56.494 [MainThread] INFO    thonny.plugins.cpython_frontend.cp_front: Creating LocalCPythonProxy
16:03:56.496 [MainThread] INFO    thonny.running: Starting the backend: ['/usr/bin/python3', '-u', '-B', '/usr/lib/python3/dist-packages/thonny/plugins/cpython_backend/cp_launcher.py', '/home/instrumentgroup', "{'run.warn_module_shadowing': True}"] /home/instrumentgroup
16:04:07.094 [MainThread] INFO    thonny.ui_utils: Restoring focus to .
16:04:13.163 [MainThread] INFO    thonny.ui_utils: Restoring focus to .
16:04:15.456 [MainThread] INFO    thonny.running: Killing backend process
16:04:15.458 [MainThread] INFO    thonny.running: Starting the backend: ['/usr/bin/python3', '-u', '-B', '/usr/lib/python3/dist-packages/thonny/plugins/cpython_backend/cp_launcher.py', '/home/instrumentgroup/Documents/midi_scripts', "{'run.warn_module_shadowing': True}"] /home/instrumentgroup/Documents/midi_scripts
16:04:15.469 [Thread-2 (_listen_stdout)] INFO    thonny.running: Reader got EOF
16:04:15.699 [MainThread] INFO    thonny.running: Prepared clean state for executing ToplevelCommand(args=['midi_translation.py'], args_str='midi_translation.py', cmd_line='%FastDebug midi_translation.py', tty_mode=True, source=None, name='FastDebug', argv=[], breakpoints={}, id='cmd_3', local_cwd='/home/instrumentgroup/Documents/midi_scripts')
16:05:14.746 [MainThread] INFO    thonny.running: Killing backend process
16:05:14.747 [MainThread] INFO    thonny.shell: BaseShellText._on_backend_terminated
16:05:14.749 [Thread-4 (_listen_stdout)] INFO    thonny.running: Reader got EOF
